EventID|Time|Latitude|Longitude|Depth/Km|Author|Catalog|Contributor|ContributorID|MagType|Magnitude|MagAuthor|EventLocationName
22556081|2019-06-27T23:06:16.170000|36.2272|11.239|40.5|BULLETIN-INGV||||ML|3.4|--|Canale di Sicilia meridionale (MARE)
22563581|2019-06-28T23:03:05.850000|43.4278|11.1148|8.4|BULLETIN-INGV||||ML|3.1|--|1 km NW Colle di Val d'Elsa (SI)
22630381|2019-07-07T21:09:32.520000|46.3988|13.0038|6.2|BULLETIN-INGV||||ML|3.2|--|1 km NE Verzegnis (UD)
22632151|2019-07-08T04:38:28.620000|37.6667|14.8932|21.0|BULLETIN-INGV||||Mw|3.8|--|3 km NE Biancavilla (CT)
22637201|2019-07-08T16:48:51.660000|37.6633|14.8873|21.1|BULLETIN-INGV||||Mw|3.4|--|3 km NE Biancavilla (CT)
22657721|2019-07-11T21:50:36.160000|40.5672|15.6218|15.7|BULLETIN-INGV||||ML|3.2|--|3 km NW Satriano di Lucania (PZ)
22666191|2019-07-13T09:56:39.254000|37.3008|5.68652|19.5|SURVEY-INGV-A||||mb|5.0|--|Algeria [Sea]
22689281|2019-07-16T19:20:21.640000|38.4142|16.8695|35.7|BULLETIN-INGV||||ML|3.1|--|Mar Ionio Settentrionale (MARE)
22741631|2019-07-26T04:07:53.860000|38.6927|18.1292|18.8|BULLETIN-INGV||||ML|3.6|--|Mar Ionio Settentrionale (MARE)
22765331|2019-07-28T19:19:14.660000|46.1888|13.0725|8.9|BULLETIN-INGV||||ML|3.3|--|Majano (UD)
22787261|2019-08-02T05:07:41.360000|38.6285|15.6885|103.2|BULLETIN-INGV||||ML|3.4|--|Costa Calabra sud-occidentale (Catanzaro, Vibo Valentia, Reggio di Calabria)
22805931|2019-08-05T10:16:21.750000|37.664|13.2203|7.7|BULLETIN-INGV||||ML|3.6|--|2 km SW Giuliana (PA)
22823731|2019-08-08T05:31:26.990000|40.7553|15.4858|7.2|BULLETIN-INGV||||ML|3.1|--|Muro Lucano (PZ)
22823821|2019-08-08T05:36:35.690000|45.7687|11.0673|10.7|BULLETIN-INGV||||ML|3.4|--|4 km W Vallarsa (TN)
22829591|2019-08-09T03:35:22.940000|35.5532|12.8703|6.0|BULLETIN-INGV||||ML|3.2|--|Lampedusa e Linosa (Agrigento)
22832161|2019-08-09T11:48:16.610000|43.0612|13.2972|22.3|BULLETIN-INGV||||ML|3.0|--|3 km N Sarnano (MC)
22855201|2019-08-13T11:17:17.200000|44.4612|9.8162|6.3|BULLETIN-INGV||||Mw|3.7|--|5 km SE Borgo Val di Taro (PR)
22864191|2019-08-14T18:11:04.440000|42.6398|13.179|10.2|BULLETIN-INGV||||Mw|3.3|--|3 km NE Cittareale (RI)
22866271|2019-08-14T23:26:22.240000|37.9555|15.9078|17.8|BULLETIN-INGV||||ML|3.2|--|3 km NW Bova Marina (RC)
22871301|2019-08-15T17:45:12.750000|39.6398|16.8083|13.6|BULLETIN-INGV||||Mw|3.6|--|Costa Ionica Cosentina (Cosenza)
22878631|2019-08-17T01:43:03.090000|42.7318|12.545|5.4|BULLETIN-INGV||||ML|3.0|--|4 km N Acquasparta (TR)
22882061|2019-08-17T16:52:19.500000|43.9288|11.825|6.4|BULLETIN-INGV||||Mw|3.5|--|7 km SE Premilcuore (FC)
22883331|2019-08-17T21:35:10.740000|38.7145|14.7475|299.8|BULLETIN-INGV||||ML|3.6|--|Isole Eolie (Messina)
22883481|2019-08-17T22:01:36.570000|43.9215|11.8342|6.7|BULLETIN-INGV||||Mw|3.4|--|7 km W Santa Sofia (FC)
22904521|2019-08-21T18:04:27.280000|41.6127|11.6697|21.2|BULLETIN-INGV||||ML|3.3|--|Tirreno Centrale (MARE)
22905931|2019-08-22T03:20:31.890000|39.2075|17.1458|6.9|BULLETIN-INGV||||ML|3.1|--|10 km SE Strongoli (KR)
